Issue,Category,File,Problem,Resolution
1,Python Constraint,pyproject.toml,requires-python = ">=3.10,<3.14" blocks Python 3.14 (bench uses 3.14.3),Bumped to requires-python = ">=3.10,<3.15"
2,Frappe Dependency,pyproject.toml,one_fm frappe-dependencies = ">=15.0.0,<16.0.0" prevents install on v16,Bumped to ">=16.0.0,<17.0.0"
3,Removed Module,one_fm/api/api.py,Imported get_energy_points_heatmap_data (unused) and get_user_rank (used) from frappe.desk.page.user_profile — removed in Frappe v16,"Removed import. Replaced get_user_rank() call with fallback "0". Energy Points system was removed entirely in Frappe v16."
4,Removed Module,one_fm/api/api.py,Imported get_energy_points (unused) and get_user_energy_and_review_points (used) from frappe.social.doctype.energy_point_log — removed in Frappe v16,"Removed import. Replaced get_user_energy_and_review_points() call with fallback "0"."
5,Removed Doctype,one_fm/permissions.py,get_point_logs() queries "Energy Point Log" doctype which no longer exists in Frappe v16,Guard with frappe.db.exists("DocType", "Energy Point Log") and return empty list if not found
6,Python 3.14 Compatibility,pyproject.toml,"Google Cloud libs pinned to versions that require protobuf <5.0.0. Python 3.14 needs protobuf >=5.x. Crashes with: TypeError: Metaclasses with custom tp_new are not supported","Updated: firebase-admin>=7.4.0, google-cloud-core>=2.6.0, google-cloud-firestore>=2.27.0, google-cloud-storage>=3.4.1, google-cloud-vision>=3.14.0"
7,Python 3.14 Compatibility,pyproject.toml,"mindee==4.28.2 PDF compressor crashes on Python 3.14: ImportError: cannot import name 'POINTER' from '_ctypes'",Bumped to mindee>=4.36.0,<5
8,Removed Module,one_fm/one_fm/utils.py and one_fm/developer/doctype/file_transfer_wizard/file_transfer_wizard.py,"frappe.integrations.offsite_backup_utils removed in v16. utils.py imported 4 unused functions. file_transfer_wizard.py used get_latest_backup_file() from it.","utils.py: removed unused imports. file_transfer_wizard.py: replaced with direct BackupGenerator(db_name,...).get_recent_backup(older_than=24*30) from frappe.utils.backups"
9,Field Conflict,one_fm/custom/custom_field/employee.py (needs permanent fix),one_fm tries to create "iban" as a custom field on Employee but ERPNext v16 now includes iban as a standard field,Deleted stale tabCustom Field entry during install. Permanent fix needed: remove iban from custom field definitions
10,API Rename,one_fm/one_fm/depreciation_custom.py,"get_depreciable_asset_depr_schedules_data() renamed to get_depreciable_assets_data(). Return format changed from raw schedule data to (schedule_name, asset_name, start_idx, end_idx) tuples. Schedules moved to separate Asset Depreciation Schedule doctype.","Rewrote module: uses get_depreciable_assets_data() + delegates JE creation to v16's make_depreciation_entry(). Preserves project-based account selection (direct vs indirect depreciation expense) via _set_project_based_accounts helper."
11,Environment,bench config,"Redis not running on bench ports (cache: 13004, queue: 11004). Error: redis.exceptions.ConnectionError: Error 111","Started Redis: redis-server config/redis_cache.conf --daemonize yes && redis-server config/redis_queue.conf --daemonize yes"
